Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,BWH,BWD,BWA,,,,,,,,,,,
D2,13/03/05,Aachen,Ein Trier,2,0,H,1.7,3.5,4.2,,,,,,,,,,,
D2,13/03/05,Ahlen,Cottbus,3,1,H,2.15,3.3,2.9,,,,,,,,,,,
D2,13/03/05,Essen,Karlsruhe,2,1,H,2.05,3.2,3.2,,,,,,,,,,,
D2,13/03/05,Unterhaching,Duisburg,0,1,A,2.5,3.2,2.5,,,,,,,,,,,
D2,14/03/05,Munich 1860,Ein Frankfurt,2,1,H,1.95,3.2,3.5,,,,,,,,,,,
D2,16/03/05,Dresden,FC Koln,2,1,H,3.1,3.2,2.1,,,,,,,,,,,
D2,16/03/05,Saarbrucken,Karlsruhe,3,4,A,1.8,3.4,3.8,,,,,,,,,,,
D2,18/03/05,Burghausen,Ahlen,1,0,H,1.8,3.25,4,,,,,,,,,,,
D2,18/03/05,Duisburg,Erzgebirge Aue,1,1,D,1.55,3.55,5.35,,,,,,,,,,,
D2,18/03/05,Erfurt,Ein Trier,3,0,H,2.3,3,2.9,,,,,,,,,,,
D2,20/03/05,Cottbus,Unterhaching,0,0,D,1.9,3.2,3.65,,,,,,,,,,,
D2,20/03/05,Dresden,Oberhausen,3,1,H,1.75,3.3,4.2,,,,,,,,,,,
D2,20/03/05,FC Koln,Essen,0,0,D,1.35,4.3,7.3,,,,,,,,,,,
D2,20/03/05,Karlsruhe,Munich 1860,1,1,D,2.8,3.1,2.3,,,,,,,,,,,
D2,20/03/05,Saarbrucken,Aachen,1,2,A,2.25,3.1,2.9,,,,,,,,,,,
D2,21/03/05,Ein Frankfurt,Greuther Furth,1,0,H,1.9,3.25,3.6,,,,,,,,,,,
D2,01/04/05,Aachen,Erfurt,5,1,H,1.5,3.8,5.5,,,,,,,,,,,
D2,01/04/05,Erzgebirge Aue,Cottbus,2,0,H,1.75,3.4,4.05,,,,,,,,,,,
D2,01/04/05,Essen,Dresden,2,1,H,1.9,3.35,3.5,,,,,,,,,,,
D2,03/04/05,Ahlen,Ein Frankfurt,3,2,H,2.75,3.2,2.3,,,,,,,,,,,
D2,03/04/05,Greuther Furth,Karlsruhe,1,0,H,1.55,3.7,5.1,,,,,,,,,,,
D2,03/04/05,Munich 1860,FC Koln,0,0,D,2.3,3.1,2.8,,,,,,,,,,,
D2,03/04/05,Oberhausen,Saarbrucken,3,0,H,2,3.35,3.2,,,,,,,,,,,
D2,03/04/05,Unterhaching,Burghausen,0,1,A,1.9,3.35,3.5,,,,,,,,,,,
D2,04/04/05,Ein Trier,Duisburg,1,0,H,2.8,3.2,2.25,,,,,,,,,,,
D2,06/04/05,Erfurt,Unterhaching,2,0,H,2.05,3.2,3.2,,,,,,,,,,,
D2,06/04/05,Greuther Furth,Burghausen,1,1,D,1.6,3.6,4.8,,,,,,,,,,,
D2,06/04/05,Karlsruhe,Oberhausen,3,0,H,1.8,3.4,3.8,,,,,,,,,,,
D2,08/04/05,Cottbus,Ein Trier,2,1,H,1.95,3.2,3.5,,,,,,,,,,,
D2,08/04/05,Dresden,Munich 1860,0,4,A,2.45,3.15,2.6,,,,,,,,,,,
D2,08/04/05,Saarbrucken,Essen,0,0,D,1.9,3.25,3.6,,,,,,,,,,,
D2,10/04/05,Burghausen,Erzgebirge Aue,2,2,D,2.2,3.15,2.95,,,,,,,,,,,
D2,10/04/05,Duisburg,Erfurt,4,0,H,1.35,4.2,7.5,,,,,,,,,,,
D2,10/04/05,Ein Frankfurt,Unterhaching,3,0,H,1.5,3.65,5.8,,,,,,,,,,,
D2,10/04/05,Karlsruhe,Ahlen,0,0,D,1.9,3.25,3.6,,,,,,,,,,,
D2,10/04/05,Oberhausen,Aachen,0,0,D,2.9,3.3,2.15,,,,,,,,,,,
D2,11/04/05,FC Koln,Greuther Furth,3,2,H,1.6,3.6,4.8,,,,,,,,,,,
D2,15/04/05,Erfurt,Cottbus,3,3,D,2.25,3.2,2.8,,,,,,,,,,,
D2,15/04/05,Essen,Oberhausen,2,2,D,1.75,3.4,4.1,,,,,,,,,,,
D2,15/04/05,Greuther Furth,Dresden,0,1,A,1.55,3.7,5.1,,,,,,,,,,,
D2,17/04/05,Ahlen,FC Koln,1,0,H,3,3.2,2.15,,,,,,,,,,,
D2,17/04/05,Ein Trier,Burghausen,0,2,A,1.95,3.25,3.4,,,,,,,,,,,
D2,17/04/05,Erzgebirge Aue,Ein Frankfurt,0,5,A,2.4,3.2,2.6,,,,,,,,,,,
D2,17/04/05,Munich 1860,Saarbrucken,1,1,D,1.35,4.3,7.2,,,,,,,,,,,
D2,17/04/05,Unterhaching,Karlsruhe,2,0,H,1.95,3.25,3.4,,,,,,,,,,,
D2,18/04/05,Aachen,Duisburg,0,0,D,2.25,3.1,2.9,,,,,,,,,,,
D2,22/04/05,Ein Frankfurt,Ein Trier,2,0,H,1.35,4.4,7,,,,,,,,,,,
D2,22/04/05,Essen,Aachen,0,2,A,2.4,3.2,2.6,,,,,,,,,,,
D2,22/04/05,Karlsruhe,Erzgebirge Aue,0,1,A,1.85,3.35,3.65,,,,,,,,,,,
D2,24/04/05,Burghausen,Erfurt,0,2,A,1.8,3.5,3.7,,,,,,,,,,,
D2,24/04/05,Cottbus,Duisburg,1,0,H,2.5,3.2,2.5,,,,,,,,,,,
D2,24/04/05,Dresden,Ahlen,3,1,H,1.75,3.4,4.1,,,,,,,,,,,
D2,24/04/05,Oberhausen,Munich 1860,0,0,D,3.5,3.35,1.9,,,,,,,,,,,
